city,lat,long
San Francisco,37.773972,-122.431297
Toronto,43.639217,-79.400414
Los Angeles,34.052235,-118.243683
Vancouver,49.246292,-123.116226
Seattle,47.608013,-122.335167
San Diego,32.715736,-117.161087
New York,40.73061,-73.935242
Washington DC,38.930176,-77.070503
Chicago,41.881832,-87.623177
Las Vegas,36.114647,-115.172813
Boston,42.361145,-71.057083
Houston,29.759438,-95.369957
Portland,45.523064,-122.676483
Atlanta,33.753746,-84.38633
Philadelphia,39.952583,-75.165222
Phoenix,33.448376,-112.074036
Miami,25.761681,-80.191788
Denver,39.742043,-104.991531
Dallas,32.89748,-97.040443
Charlotte,35.227085,-80.843124
Minneapolis,44.986656,-93.258133
Montreal,45.5017,-73.5673
